2018-10-07 19:35:00,213; 'h'
2018-10-07 19:35:00,305; 'e'
2018-10-07 19:35:00,419; 's'
2018-10-07 19:35:00,543; 'j'
2018-10-07 19:35:00,647; 'a'
2018-10-07 19:35:00,794; 'n'
2018-10-07 19:35:00,939; Key.space
2018-10-07 19:35:01,335; '1'
2018-10-07 19:35:01,553; '2'
2018-10-07 19:35:01,718; '3'
2018-10-07 19:36:02,264; 'h'
2018-10-07 19:36:02,372; 'e'
2018-10-07 19:36:02,487; 'j'
2018-10-07 19:36:02,715; Key.enter
2018-10-07 19:37:33,460; 'h'
2018-10-07 19:37:33,802; 'e'
2018-10-07 19:37:34,482; 'k'
2018-10-07 19:37:34,692; 'j'
2018-10-07 19:37:35,063; 's'
2018-10-07 19:37:45,699; 'f'
2018-10-07 19:37:45,882; 'u'
2018-10-07 19:37:46,070; 'n'
2018-10-07 19:37:46,232; 'k'
2018-10-07 19:37:46,345; 'a'
2018-10-07 19:37:46,449; 'r'
2018-10-07 19:37:46,609; Key.space
2018-10-07 19:37:46,765; 'd'
2018-10-07 19:37:46,956; 'e'
2018-10-07 19:37:47,165; 't'
2018-10-07 19:37:47,289; Key.space
2018-10-07 19:37:47,473; 'n'
2018-10-07 19:37:47,587; 'u'
2018-10-07 19:37:47,835; Key.shift_r
2018-10-07 19:37:48,083; '+'
2018-10-08 07:51:22,005; 'h'
2018-10-08 07:51:22,123; 'e'
2018-10-08 07:51:22,243; 'j'
2018-10-08 07:51:22,363; 's'
2018-10-08 07:51:22,531; 'a'
2018-10-08 07:51:22,667; 'n'
2018-10-08 07:51:22,971; '1'
2018-10-08 07:51:23,163; '2'
2018-10-08 07:51:23,379; '3'
2018-10-08 07:51:37,451; Key.backspace
2018-10-08 07:51:37,952; Key.backspace
2018-10-08 07:51:37,984; Key.backspace
2018-10-08 07:51:38,017; Key.backspace
2018-10-08 07:51:38,050; Key.backspace
2018-10-08 07:51:38,083; Key.backspace
2018-10-08 07:51:38,117; Key.backspace
2018-10-08 07:51:38,149; Key.backspace
2018-10-08 07:51:38,183; Key.backspace
2018-10-08 07:51:38,215; Key.backspace
2018-10-08 07:51:38,248; Key.backspace
2018-10-08 07:51:38,281; Key.backspace
2018-10-08 07:51:38,314; Key.backspace
2018-10-08 07:51:38,347; Key.backspace
2018-10-08 07:51:38,380; Key.backspace
2018-10-08 07:51:38,413; Key.backspace
2018-10-08 07:51:38,446; Key.backspace
2018-10-08 07:51:38,479; Key.backspace
2018-10-08 07:51:38,755; 'v'
2018-10-08 07:51:38,939; 'e'
2018-10-08 07:51:39,196; 't'
2018-10-08 07:51:39,363; Key.space
2018-10-08 07:51:39,499; 'd'
2018-10-08 07:51:39,620; 'u'
2018-10-08 07:51:39,827; Key.space
2018-10-08 07:51:40,012; 'v'
2018-10-08 07:51:40,132; 'a'
2018-10-08 07:51:40,515; 'd'
2018-10-08 07:51:40,644; Key.space
2018-10-08 07:51:40,843; 'a'
2018-10-08 07:51:41,116; Key.backspace
2018-10-08 07:51:41,355; 'j'
2018-10-08 07:51:41,436; 'a'
2018-10-08 07:51:41,611; 'g'
2018-10-08 07:51:41,852; Key.space
2018-10-08 07:51:42,036; 's'
2018-10-08 07:51:42,348; 'k'
2018-10-08 07:51:42,579; 'r'
2018-10-08 07:51:42,715; 'i'
2018-10-08 07:51:42,827; 'v'
2018-10-08 07:51:43,092; 'e'
2018-10-08 07:51:43,236; 'r'
2018-10-08 07:51:43,372; Key.space
2018-10-08 07:51:43,491; 'n'
2018-10-08 07:51:43,611; 'u'
2018-10-08 07:51:44,052; Key.shift_r
2018-10-08 07:51:44,552; Key.shift_r
2018-10-08 07:51:44,584; Key.shift_r
2018-10-08 07:51:44,617; Key.shift_r
2018-10-08 07:51:44,651; Key.shift_r
2018-10-08 07:51:44,659; '+'
2018-10-08 07:51:44,923; Key.space
2018-10-08 07:51:45,163; 'j'
2018-10-08 07:51:45,243; 'a'
2018-10-08 07:51:45,411; 'd'
2018-10-08 07:51:45,595; Key.space
2018-10-08 07:51:45,739; Key.backspace
2018-10-08 07:51:45,883; Key.backspace
2018-10-08 07:51:46,003; Key.space
2018-10-08 07:51:46,131; 'd'
2018-10-08 07:51:46,307; 'e'
2018-10-08 07:51:46,611; 't'
2018-10-08 07:51:46,779; Key.space
2018-10-08 07:51:46,987; 'g'
2018-10-08 07:51:47,115; 'ö'
2018-10-08 07:51:47,275; 'r'
2018-10-08 07:51:47,387; Key.space
2018-10-08 07:51:47,539; 'd'
2018-10-08 07:51:47,811; 'u'
2018-10-08 07:52:02,012; Key.ctrl_l
2018-10-08 07:52:02,100; Key.alt_l
2018-10-08 07:52:02,364; Key.delete
2018-10-08 09:24:28,056; '1'
2018-10-08 09:24:28,128; '2'
2018-10-08 09:24:28,256; '3'
2018-10-08 09:24:28,528; '4'
2018-10-08 09:24:28,536; '5'
2018-10-08 09:24:28,728; '2'
2018-10-08 09:24:28,752; '3'
2018-10-08 09:24:28,760; '5'
2018-10-08 09:24:28,976; '1'
2018-10-08 09:24:29,001; '4'
2018-10-08 09:24:29,128; '3'
2018-10-08 09:24:29,232; '2'
2018-10-08 09:24:29,279; '3'
2018-10-08 09:24:29,320; '4'
2018-10-08 09:24:29,480; '1'
2018-10-08 09:24:29,489; '2'
2018-10-08 09:24:29,560; '4'
2018-10-08 09:24:29,680; '3'
2018-10-08 09:24:29,704; '1'
2018-10-08 09:24:29,728; '2'
2018-10-08 09:24:29,873; '4'
2018-10-08 09:24:30,072; '2'
2018-10-08 09:24:30,080; '1'
2018-10-08 09:24:49,857; 'j'
2018-10-08 09:24:50,080; Key.backspace
2018-10-08 09:24:50,336; 'h'
2018-10-08 09:24:50,656; 'e'
2018-10-08 09:24:50,872; 'j'
2018-10-08 09:24:51,000; 's'
2018-10-08 09:24:51,160; 'a'
